Timestamp,Video File,Color (CSS3),Substance,Cumulative Area
2025-04-29 03:41:10,IMG_1344.MOV,darkseagreen-darkkhaki,Unknown,2.44pxx2
2025-04-29 03:41:40,IMG_1344.MOV,cornflowerblue-mediumpurple,Unknown,2.95pxx2
2025-04-29 03:41:40,IMG_1344.MOV,cornflowerblue-mediumpurple,Unknown,3.43pxx2
2025-04-29 03:41:43,IMG_1344.MOV,cornflowerblue-mediumpurple,Unknown,3.96pxx2
2025-04-29 03:41:43,IMG_1344.MOV,cornflowerblue-mediumpurple,Unknown,4.52pxx2
2025-04-29 03:41:48,IMG_1344.MOV,cornflowerblue-mediumpurple,Unknown,5.06pxx2
2025-04-29 03:41:49,IMG_1344.MOV,cornflowerblue-mediumpurple,Unknown,5.62pxx2
2025-04-29 03:43:47,IMG_1344.MOV,lightgreen-mediumaquamarine,Unknown,8.53pxx2
2025-04-29 03:43:50,IMG_1344.MOV,lightgreen-mediumaquamarine,Unknown,11.76pxx2
2025-04-29 03:43:58,IMG_1344.MOV,mediumaquamarine-cadetblue,Unknown,11.91pxx2
2025-04-29 03:43:59,IMG_1344.MOV,mediumaquamarine-cadetblue,Unknown,12.06pxx2
2025-04-29 03:45:07,IMG_1344.MOV,lightgreen-darkseagreen,Unknown,15.14pxx2
2025-04-29 03:45:10,IMG_1344.MOV,lightgreen-darkseagreen,Unknown,18.16pxx2
2025-04-29 03:46:02,IMG_1344.MOV,mediumaquamarine-cadetblue,Unknown,18.31pxx2
2025-04-29 03:46:07,IMG_1344.MOV,dimgray-gray,Unknown,18.36pxx2
2025-04-29 03:46:14,IMG_1344.MOV,mediumaquamarine-cadetblue,Unknown,18.51pxx2
2025-04-29 03:48:49,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,18.67pxx2
2025-04-29 03:49:45,IMG_1344.MOV,lightgreen-mediumaquamarine,Unknown,21.35pxx2
2025-04-29 03:49:47,IMG_1344.MOV,lightgreen-mediumaquamarine,Unknown,24.03pxx2
2025-04-29 03:50:43,IMG_1344.MOV,lightslategray-cadetblue,Unknown,25.14pxx2
2025-04-29 03:50:43,IMG_1344.MOV,cornflowerblue-mediumslateblue,Unknown,25.83pxx2
2025-04-29 03:51:07,IMG_1344.MOV,mediumaquamarine-cadetblue,Unknown,25.99pxx2
2025-04-29 03:51:10,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,26.15pxx2
2025-04-29 03:56:35,IMG_1344.MOV,mediumaquamarine-cadetblue,Unknown,26.30pxx2
2025-04-29 03:56:37,IMG_1344.MOV,mediumpurple-cornflowerblue,Unknown,27.00pxx2
2025-04-29 03:56:39,IMG_1344.MOV,darkgray-lightsteelblue,Unknown,27.25pxx2
2025-04-29 03:56:41,IMG_1344.MOV,cornflowerblue-mediumpurple,Unknown,27.82pxx2
2025-04-29 03:56:42,IMG_1344.MOV,mediumpurple-cornflowerblue,Unknown,28.45pxx2
2025-04-29 03:56:43,IMG_1344.MOV,mediumpurple-cornflowerblue,Unknown,29.03pxx2
2025-04-29 03:56:46,IMG_1344.MOV,darkgray-lightsteelblue,Unknown,29.27pxx2
2025-04-29 03:56:47,IMG_1344.MOV,mediumaquamarine-cadetblue,Unknown,29.43pxx2
2025-04-29 03:56:47,IMG_1344.MOV,plum-silver,Unknown,29.68pxx2
2025-04-29 03:56:48,IMG_1344.MOV,darkgray-lightsteelblue,Unknown,29.91pxx2
2025-04-29 03:56:52,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,30.07pxx2
2025-04-29 04:00:09,IMG_1344.MOV,mediumaquamarine-cadetblue,Unknown,30.23pxx2
2025-04-29 04:00:29,IMG_1344.MOV,mediumaquamarine-cadetblue,Unknown,30.38pxx2
2025-04-29 04:00:35,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,30.53pxx2
2025-04-29 04:00:35,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,30.68pxx2
2025-04-29 04:00:37,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,30.83pxx2
2025-04-29 04:00:39,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,30.98pxx2
2025-04-29 04:00:43,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,31.13pxx2
2025-04-29 04:00:45,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,31.28pxx2
2025-04-29 04:01:15,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,31.43pxx2
2025-04-29 04:01:16,IMG_1344.MOV,mediumaquamarine-darkseagreen,Unknown,31.58pxx2
